SR NO.,11 Comae Berenices b,305.0,6165.32,4.74,2007,Gas Giant,12.096,1.29 AU,326 days,0.23,11 Com,Radial Velocity,,,12h20m43.03s,+17d47m34.3s,4742.0,2.7,19.0,Gravitation_value
160,GJ 1132 b,41.0,527.548,13.49,2015,Super Earth,12.655999999999999,0.0153 AU,1.6 days,0.22,GJ 1132,Transit,,6.3,10h14m51.78s,-47d09m24.2s,3270.0,0.18,0.21,32.34147625776951
161,GJ 1132 c,41.0,838.9920000000001,13.49,2018,Super Earth,16.016,0.0476 AU,8.9 days,< 0.27,GJ 1132,Radial Velocity,,,10h14m51.78s,-47d09m24.2s,3270.0,0.18,0.21,32.11740814160681
165,GJ 1252 b,66.0,664.202,12.193,2020,Super Earth,13.3616,0.00916 AU,0.5 days,0.0,GJ 1252,Transit,85.0,,20h27m42.06s,-56d27m25.2s,3458.0,0.38,0.39,36.53204950628993
168,GJ 15 A b,12.0,962.934,8.08,2014,Super Earth,17.36,0.072 AU,11.4 days,0.09,GJ 15 A,Radial Velocity,,,00h18m22.89s,+44d01m22.6s,3607.0,0.38,0.38,31.375298830696934
182,GJ 273 b,12.0,918.4420000000001,9.872,2017,Super Earth,16.912,0.091101 AU,18.6 days,0.1,GJ 273,Radial Velocity,,,07h27m24.50s,+05d13m32.8s,3382.0,0.29,0.29,31.53207761627121
183,GJ 273 c,12.0,375.004,9.872,2017,Super Earth,11.872,0.036467 AU,4.7 days,0.17,GJ 273,Radial Velocity,,,07h27m24.50s,+05d13m32.8s,3382.0,0.29,0.29,26.12636052553975
186,GJ 3138 b,93.0,565.6840000000001,10.98,2017,Super Earth,13.216,0.0197 AU,1.2 days,0.19,GJ 3138,Radial Velocity,,,02h09m10.90s,-16d20m22.5s,3717.0,0.68,0.5,31.802746423662903
187,GJ 3138 c,93.0,1328.404,10.98,2017,Super Earth,21.055999999999997,0.057 AU,6 days,0.11,GJ 3138,Radial Velocity,,,02h09m10.90s,-16d20m22.5s,3717.0,0.68,0.5,29.421798850032616
195,GJ 3293 e,66.0,1042.384,11.962,2017,Super Earth,18.255999999999997,0.08208 AU,13.3 days,0.21,GJ 3293,Radial Velocity,,,04h28m35.72s,-25d10m09.5s,3466.0,0.42,0.4,30.711941625517575
196,GJ 3323 b,17.0,641.956,12.22,2017,Super Earth,13.776,0.03282 AU,5.4 days,0.23,GJ 3323,Radial Velocity,,,05h01m57.43s,-06d56m46.5s,3159.0,0.16,0.12,33.21618764877581
197,GJ 3323 c,17.0,734.118,12.22,2017,Super Earth,14.783999999999999,0.1264 AU,40.5 days,0.17,GJ 3323,Radial Velocity,,,05h01m57.43s,-06d56m46.5s,3159.0,0.16,0.12,32.98167867319518
202,GJ 357 b,31.0,584.7520000000001,10.92,2019,Super Earth,13.6304,0.035 AU,3.9 days,0.0,GJ 357,Transit,89.12,5.6,09h36m01.64s,-21d39m38.9s,3505.0,0.34,0.34,30.90617826726779
203,GJ 357 c,31.0,1080.52,10.92,2019,Super Earth,18.592,0.061 AU,9.1 days,0.0,GJ 357,Radial Velocity,,,09h36m01.64s,-21d39m38.9s,3505.0,0.34,0.34,30.695264476556826
208,GJ 3998 b,59.0,784.9660000000001,10.83,2016,Super Earth,15.455999999999998,0.029 AU,2.6 days,0.0,GJ 3998,Radial Velocity,,,17h16m00.64s,+11d03m27.6s,3722.0,0.5,0.49,32.26617011614775
210,GJ 411 b,8.0,950.2220000000001,7.49,2019,Super Earth,17.247999999999998,0.0785 AU,13 days,0.22,GJ 411,Radial Velocity,,,11h03m20.19s,+35d58m11.6s,3563.0,0.39,0.39,31.364501213735576
222,GJ 581 e,21.0,540.26,10.56,2009,Super Earth,13.104,0.02815 AU,3.1 days,0.0,GJ 581,Radial Velocity,,,15h19m26.82s,-07d43m20.2s,,0.31,0.29,30.89483190576374
223,GJ 625 b,21.0,896.196,10.1,2017,Super Earth,16.688,0.078361 AU,14.6 days,0.13,GJ 625,Radial Velocity,,,16h25m24.62s,+54d18m14.8s,3499.0,0.3,0.31,31.59986376240497
226,GJ 667 C c,22.0,1207.64,10.22,2011,Super Earth,19.823999999999998,0.125 AU,28.1 days,0.02,GJ 667 C,Radial Velocity,,,17h18m58.82s,-34d59m48.6s,3350.0,0.33,,30.174890489368053
227,GJ 667 C e,22.0,858.0600000000001,10.22,2013,Super Earth,16.24,0.213 AU,62.2 days,0.02,GJ 667 C,Radial Velocity,,,17h18m58.82s,-34d59m48.6s,3350.0,0.33,,31.947464662141716
228,GJ 667 C f,22.0,858.0600000000001,10.22,2013,Super Earth,16.24,0.156 AU,39 days,0.03,GJ 667 C,Radial Velocity,,,17h18m58.82s,-34d59m48.6s,3350.0,0.33,,31.947464662141716
229,GJ 667 C g,22.0,1461.8799999999999,10.22,2013,Super Earth,22.288,0.549 AU,256.2 days,0.08,GJ 667 C,Radial Velocity,,,17h18m58.82s,-34d59m48.6s,3350.0,0.33,,28.89750300730372
233,GJ 676 A d,52.0,1398.3200000000002,9.58,2012,Super Earth,21.616,0.0413 AU,3.6 days,0.26,GJ 676 A,Radial Velocity,,,17h30m11.21s,-51d38m13.1s,3734.0,0.73,0.69,29.386421071157056
235,GJ 682 b,16.0,1398.3200000000002,10.97,2014,Super Earth,21.616,0.08 AU,17.5 days,0.08,GJ 682,Radial Velocity,,,17h37m03.66s,-44d19m09.2s,3028.0,0.27,,29.386421071157056
248,GJ 887 b,11.0,1334.76,7.335,2020,Super Earth,21.055999999999997,0.068 AU,9.3 days,0.0,GJ 887,Radial Velocity,,,23h05m52.04s,-35d51m11.0s,3688.0,0.49,0.47,29.562573007209803
253,GJ 9827 b,97.0,1560.3980000000001,10.25,2017,Super Earth,17.662399999999998,0.0188 AU,1.2 days,0.0,GJ 9827,Transit,86.07,6.93,23h27m04.83s,-01d17m10.6s,4340.0,0.61,0.6,49.11642450053577
254,GJ 9827 c,97.0,266.952,10.25,2017,Super Earth,13.8992,0.03925 AU,3.6 days,0.0,GJ 9827,Transit,88.19,2.42,23h27m04.83s,-01d17m10.6s,4340.0,0.61,0.6,13.568891251392921
494,HD 136352 b,48.0,1528.618,5.65,2019,Super Earth,22.848,0.0934 AU,11.6 days,0.14,HD 136352,Radial Velocity,,,15h21m48.15s,-48d19m03.5s,5664.0,0.81,,28.753676365113805
541,HD 15337 b,146.0,2386.678,9.088,2019,Super Earth,18.368,0.0522 AU,4.8 days,0.09,HD 15337,Transit,88.5,9.3,02h27m28.38s,-27d38m06.7s,5125.0,0.9,0.86,69.46417460336502
554,HD 156668 b,79.0,1318.8700000000001,8.42,2010,Super Earth,20.944,0.05 AU,4.6 days,0.0,HD 156668,Radial Velocity,,,17h17m40.49s,+29d13m38.0s,4850.0,0.77,0.72,29.523886180292454
557,HD 158259 b,88.0,705.5160000000001,6.46,2020,Super Earth,14.447999999999999,Unknown,2.2 days,0.0,HD 158259,Radial Velocity,,6.12,17h25m24.05s,+52d47m26.5s,,1.08,1.21,33.188084913829414
584,HD 164922 d,72.0,1271.2,6.99,2020,Super Earth,20.496,0.103 AU,12.5 days,0.12,HD 164922,Radial Velocity,,,18h02m30.86s,+26d18m46.8s,5390.0,0.93,0.95,29.714364784081862
668,HD 20781 b,115.0,613.354,8.48,2019,Super Earth,13.552,0.0529 AU,5.3 days,0.1,HD 20781,Radial Velocity,,,03h20m02.94s,-28d47m01.8s,5256.0,0.7,,32.794061525005915
675,HD 20794 b,20.0,858.0600000000001,4.27,2011,Super Earth,16.24,0.1207 AU,18.3 days,0.0,HD 20794,Radial Velocity,90.0,,03h19m55.65s,-43d04m11.2s,5401.0,0.7,,31.947464662141716
676,HD 20794 c,20.0,762.72,4.27,2011,Super Earth,15.12,0.2036 AU,40.1 days,0.0,HD 20794,Radial Velocity,90.0,,03h19m55.65s,-43d04m11.2s,5401.0,0.7,,32.76063744046477
