SR NO.,11 Comae Berenices b,305.0,6165.32,4.74,2007,Gas Giant,12.096,1.29 AU,326 days,0.23,11 Com,Radial Velocity,,,12h20m43.03s,+17d47m34.3s,4742.0,2.7,19.0,Gravitation_value
1716,Kepler-1223 b,1484.0,629.244,14.612,2016,Super Earth,13.664,Unknown,16.3 days,0.0,Kepler-122,Transit,,,19h24m26.85s,+39d56m56.8s,6050.0,,1.22,33.09437377827117
1717,Kepler-1224 b,1885.0,740.474,12.825,2016,Super Earth,14.895999999999999,Unknown,13.3 days,0.0,Kepler-122,Transit,,,19h24m26.85s,+39d56m56.8s,6050.0,,1.22,32.768855843350295
1718,Kepler-1225 b,4048.0,1261.6660000000002,14.632,2016,Super Earth,20.384,Unknown,7 days,0.0,Kepler-122,Transit Timing Variations,,,19h24m26.85s,+39d56m56.8s,6050.0,,1.22,29.816479879761246
1719,Kepler-1226 b,2541.0,858.0600000000001,14.15,2016,Super Earth,16.24,Unknown,17.3 days,0.0,Kepler-1220,Transit,,,19h48m16.89s,+42d58m39.9s,5842.0,1.0,0.99,31.947464662141716
1721,Kepler-1228 b,1784.0,950.2220000000001,14.860999999999999,2016,Super Earth,17.247999999999998,Unknown,0.6 days,0.0,Kepler-1222,Transit,,,19h39m33.52s,+49d22m47.2s,5239.0,0.84,0.8,31.364501213735576
1722,Kepler-1229 b,770.0,807.212,15.51,2016,Super Earth,15.679999999999998,0.3006 AU,86.8 days,0.0,Kepler-1223,Transit,,,19h01m10.98s,+44d33m09.9s,4870.0,0.8,0.75,32.23935051180432
1729,Kepler-1231 b,3092.0,826.2800000000001,14.714,2016,Super Earth,15.903999999999998,Unknown,10.4 days,0.0,Kepler-123,Transit,,,19h47m59.67s,+42d46m55.0s,6089.0,,1.26,32.077853375579075
1730,Kepler-1232 b,2414.0,1391.964,14.762,2016,Super Earth,21.616,Unknown,26.8 days,0.0,Kepler-123,Transit,,,19h47m59.67s,+42d46m55.0s,6089.0,,1.26,29.25284642992452
1733,Kepler-1235 b,1739.0,132.8404,13.877,2016,Terrestrial,8.847999999999999,Unknown,4.2 days,0.0,Kepler-1232,Transit,,,19h46m12.01s,+49d06m08.4s,5471.0,0.92,0.89,16.662138416208183
1736,Kepler-1238 b,5001.0,1391.964,14.732999999999999,2016,Super Earth,21.616,Unknown,4.1 days,0.0,Kepler-1235,Transit,,,18h59m36.72s,+43d57m14.3s,5541.0,0.93,0.9,29.25284642992452
1739,Kepler-123 c,3432.0,886.662,14.020999999999999,2014,Super Earth,16.576,0.181 AU,26.7 days,0.0,Kepler-1238,Transit,,,19h51m37.39s,+40d09m46.3s,6386.0,1.3,1.48,31.6876046691128
1740,Kepler-1240 b,2003.0,508.48,13.960999999999999,2016,Super Earth,12.879999999999999,Unknown,4.9 days,0.0,Kepler-1239,Transit,,,19h32m30.57s,+42d19m12.4s,6564.0,1.4,1.57,30.097674472714324
1743,Kepler-1243 b,2861.0,1179.038,14.833,2016,Super Earth,19.599999999999998,Unknown,16.8 days,0.0,Kepler-124,Transit,,,19h07m00.67s,+49d03m53.7s,4984.0,,0.64,30.137446399696127
1744,Kepler-1244 b,2492.0,759.542,12.323,2016,Super Earth,15.12,Unknown,3.7 days,0.0,Kepler-1240,Transit,,,18h51m59.93s,+40d33m26.8s,5682.0,0.98,0.96,32.62413478446283
1745,Kepler-1245 b,2809.0,848.526,15.372,2016,Super Earth,16.128,Unknown,4.4 days,0.0,Kepler-1241,Transit,,,19h38m18.30s,+38d27m25.1s,5261.0,0.84,0.8,32.03280101295444
1746,Kepler-1245 c,2809.0,848.526,15.372,2016,Super Earth,16.128,Unknown,2.9 days,0.0,Kepler-1242,Transit,,,18h58m25.49s,+41d11m47.0s,4895.0,0.77,0.74,32.03280101295444
1747,Kepler-1246 b,1419.0,769.076,15.032,2016,Super Earth,15.232,Unknown,11.3 days,0.0,Kepler-1243,Transit,,,19h36m02.27s,+42d52m50.8s,5667.0,0.96,0.94,32.54963987693236
1749,Kepler-1248 b,1761.0,559.328,12.925,2016,Super Earth,13.216,Unknown,7.5 days,0.0,Kepler-1245,Transit,,,19h22m58.64s,+43d15m38.8s,5306.0,0.86,0.83,31.445412194183536
1751,Kepler-124 b,1387.0,100.107,14.124,2014,Terrestrial,8.176,0.039 AU,3.4 days,0.0,Kepler-1246,Transit,,,19h10m37.78s,+48d58m55.8s,4611.0,0.73,0.69,14.705285893697079
1752,Kepler-124 c,1387.0,1179.038,14.124,2014,Super Earth,19.599999999999998,0.1 AU,13.8 days,0.0,Kepler-1247,Transit,,,19h38m08.05s,+46d37m05.8s,5303.0,0.86,0.82,30.137446399696127
1753,Kepler-124 d,1387.0,448.098,14.124,2014,Super Earth,12.432,0.17 AU,31 days,0.0,Kepler-1248,Transit,,,19h12m14.24s,+51d21m16.0s,6149.0,1.21,1.21,28.46962808981222
1754,Kepler-1250 b,4472.0,1382.4299999999998,15.569,2016,Super Earth,21.503999999999998,Unknown,2.6 days,0.0,Kepler-1249,Transit,,,19h47m34.77s,+44d22m18.4s,6202.0,1.19,1.28,29.35590261369771
1755,Kepler-1251 b,2815.0,1283.912,14.939,2016,Super Earth,20.608,Unknown,45.1 days,0.0,Kepler-125,Transit,,,19h53m01.95s,+47d36m17.8s,3810.0,,0.51,29.686182829532676
1756,Kepler-1252 b,2701.0,1090.054,14.495,2016,Super Earth,18.703999999999997,Unknown,15.1 days,0.0,Kepler-125,Transit,,,19h53m01.95s,+47d36m17.8s,3810.0,,0.51,30.596363822041155
1757,Kepler-1253 b,1272.0,740.474,12.457,2016,Super Earth,14.895999999999999,Unknown,68.9 days,0.0,Kepler-1250,Transit,,,19h11m10.53s,+45d58m48.9s,5717.0,0.99,0.98,32.768855843350295
1758,Kepler-1254 b,2205.0,959.7560000000001,15.302,2016,Super Earth,17.36,Unknown,10 days,0.0,Kepler-1251,Transit,,,19h28m27.64s,+49d15m23.1s,5545.0,0.92,0.89,31.27174998967153
1759,Kepler-1254 c,2205.0,711.8720000000001,15.302,2016,Super Earth,14.559999999999999,Unknown,3.6 days,0.0,Kepler-1252,Transit,,,19h55m48.08s,+46d41m34.1s,5949.0,1.06,1.09,32.97387235871633
1760,Kepler-1254 d,2205.0,721.4060000000001,15.302,2016,Super Earth,14.671999999999999,Unknown,5.7 days,0.0,Kepler-1253,Transit,,,18h55m32.43s,+47d38m14.0s,5850.0,0.97,1.1,32.90727379402202
1762,Kepler-1256 b,2812.0,899.374,13.513,2016,Super Earth,16.688,Unknown,12.4 days,0.0,Kepler-1254,Transit,,,19h00m41.60s,+48d46m12.2s,4985.0,0.78,0.75,31.71192001688158
1763,Kepler-1257 b,3526.0,927.976,15.512,2016,Super Earth,17.023999999999997,Unknown,2.7 days,0.0,Kepler-1254,Transit,,,19h00m41.60s,+48d46m12.2s,4985.0,0.78,0.75,31.441576542828336
1764,Kepler-1258 b,2124.0,179.8748,13.785,2016,Terrestrial,9.632,Unknown,1 days,0.0,Kepler-1255,Transit,,,19h40m57.43s,+42d43m35.3s,6018.0,1.08,1.12,19.038300062054837
1765,Kepler-1259 b,2296.0,835.814,15.333,2016,Super Earth,16.016,Unknown,0.7 days,0.0,Kepler-1256,Transit,,,19h25m53.83s,+44d41m00.7s,6129.0,1.17,1.36,31.995751292585574
1767,Kepler-125 c,601.0,104.87400000000001,14.767999999999999,2014,Terrestrial,8.288,0.051 AU,5.8 days,0.0,Kepler-1258,Transit,,,19h01m37.19s,+49d59m41.1s,5839.0,0.99,0.99,14.99198500474154
1768,Kepler-1260 b,3396.0,1201.2839999999999,14.823,2016,Super Earth,19.823999999999998,Unknown,19.1 days,0.0,Kepler-1259,Transit,,,19h51m21.96s,+46d58m03.7s,5053.0,0.8,0.77,30.01607527626611
1770,Kepler-1262 b,3761.0,1261.6660000000002,15.184000000000001,2016,Super Earth,20.384,Unknown,8.7 days,0.0,Kepler-126,Transit,,,19h17m23.35s,+44d12m30.8s,6239.0,,1.36,29.816479879761246
1771,Kepler-1263 b,2267.0,492.59000000000003,15.001,2016,Super Earth,12.767999999999999,Unknown,4.6 days,0.0,Kepler-126,Transit,,,19h17m23.35s,+44d12m30.8s,6239.0,,1.36,29.67089415000542
1772,Kepler-1264 b,2655.0,559.328,14.479000000000001,2016,Super Earth,13.216,Unknown,1 days,0.0,Kepler-1260,Transit,,,19h42m21.90s,+42d33m18.9s,5961.0,1.06,1.08,31.445412194183536
1773,Kepler-1265 b,1895.0,759.542,15.565999999999999,2016,Super Earth,15.12,Unknown,6.5 days,0.0,Kepler-1261,Transit,,,19h00m55.79s,+48d48m24.2s,5006.0,0.82,0.77,32.62413478446283
1776,Kepler-1268 b,4586.0,1519.084,15.222000000000001,2016,Super Earth,22.735999999999997,Unknown,41 days,0.0,Kepler-1264,Transit,,,19h19m32.25s,+45d12m41.4s,5791.0,0.99,0.98,28.856553493015376
1777,Kepler-1269 b,2316.0,1045.5620000000001,13.57,2016,Super Earth,18.255999999999997,Unknown,37.3 days,0.0,Kepler-1265,Transit,,,18h58m20.59s,+47d04m46.3s,4630.0,0.71,0.69,30.805575593888054
1778,Kepler-126 b,780.0,927.976,10.454,2014,Super Earth,17.023999999999997,0.099 AU,10.5 days,0.07,Kepler-1266,Transit,,,19h03m28.63s,+42d43m41.1s,5044.0,0.8,0.76,31.441576542828336
1779,Kepler-126 c,780.0,991.5360000000001,10.454,2014,Super Earth,17.695999999999998,0.162 AU,21.9 days,0.19,Kepler-1267,Transit,,,19h56m40.69s,+43d26m27.9s,6096.0,1.15,1.2,31.092028623546376
1782,Kepler-1271 b,2887.0,886.662,13.868,2016,Super Earth,16.576,Unknown,3 days,0.0,Kepler-127,Transit,,,19h00m45.60s,+46d01m40.7s,6106.0,,1.36,31.6876046691128
1785,Kepler-1274 b,1987.0,826.2800000000001,11.682,2016,Super Earth,15.903999999999998,Unknown,7 days,0.0,Kepler-1270,Transit,,,19h06m51.75s,+48d38m43.0s,5047.0,1.28,3.38,32.077853375579075
1786,Kepler-1275 b,4175.0,886.662,14.405999999999999,2016,Super Earth,16.576,Unknown,3.7 days,0.0,Kepler-1271,Transit,,,19h05m22.63s,+37d24m43.1s,6143.0,1.13,1.23,31.6876046691128
1787,Kepler-1276 b,1915.0,575.2180000000001,12.847999999999999,2016,Super Earth,13.328,Unknown,12.6 days,0.0,Kepler-1272,Transit,,,19h00m52.76s,+38d48m21.2s,5926.0,1.06,1.09,31.797523050631174
1788,Kepler-1277 b,1977.0,1013.782,14.093,2016,Super Earth,17.919999999999998,Unknown,40.8 days,0.0,Kepler-1273,Transit,,,19h03m12.77s,+44d52m24.3s,5566.0,0.94,0.91,30.9998331600648
1789,Kepler-1278 b,2424.0,320.978,13.632,2016,Super Earth,11.312,Unknown,3.2 days,0.0,Kepler-1274,Transit,,,18h58m22.49s,+46d26m59.2s,6179.0,1.45,2.17,24.63129609539894
1790,Kepler-1279 b,3317.0,1179.038,13.932,2016,Super Earth,19.599999999999998,Unknown,23.5 days,0.0,Kepler-1275,Transit,,,19h34m00.12s,+44d55m56.8s,6296.0,1.23,1.36,30.137446399696127
1791,Kepler-127 b,1163.0,807.212,11.437999999999999,2014,Super Earth,15.679999999999998,0.125 AU,14.4 days,0.47,Kepler-1276,Transit,,,19h11m25.68s,+40d32m49.9s,6188.0,1.14,1.21,32.23935051180432
1794,Kepler-1280 b,3282.0,1322.048,14.0,2016,Super Earth,20.944,Unknown,66.6 days,0.0,Kepler-1279,Transit,,,19h12m22.95s,+40d21m57.5s,6221.0,1.21,1.33,29.595028074702793
1795,Kepler-1281 b,3556.0,1058.2740000000001,15.997,2016,Super Earth,18.368,Unknown,3.1 days,0.0,Kepler-128,Transit,,1.46,18h49m58.13s,+43d58m48.8s,,1.09,1.61,30.801025489907534
1796,Kepler-1282 b,3673.0,959.7560000000001,15.492,2016,Super Earth,17.36,Unknown,2.1 days,0.0,Kepler-128,Transit,,2.07,18h49m58.13s,+43d58m48.8s,,1.09,1.61,31.27174998967153
1797,Kepler-1283 b,4736.0,1369.7179999999998,15.07,2016,Super Earth,21.392,Unknown,12.9 days,0.0,Kepler-1280,Transit,,,19h34m17.74s,+45d23m04.3s,6227.0,1.2,1.32,29.391325630569646
1798,Kepler-1284 b,2779.0,610.176,15.662,2016,Super Earth,13.552,Unknown,0.7 days,0.0,Kepler-1281,Transit,,,19h41m25.07s,+48d30m55.5s,5353.0,0.87,0.83,32.6241441077779
1799,Kepler-1285 b,1187.0,276.8038,11.65,2016,Terrestrial,10.863999999999999,Unknown,14.8 days,0.0,Kepler-1282,Transit,,,19h20m42.28s,+46d41m54.0s,5504.0,0.92,0.89,23.029437228274425
1801,Kepler-1287 b,3350.0,950.2220000000001,15.007,2016,Super Earth,17.247999999999998,Unknown,11.5 days,0.0,Kepler-1284,Transit,,,19h25m06.96s,+47d41m15.5s,5123.0,0.84,0.79,31.364501213735576
1802,Kepler-1288 b,2332.0,463.988,13.177,2016,Super Earth,12.544,Unknown,2.8 days,0.0,Kepler-1285,Transit,,,18h47m20.49s,+44d09m21.3s,6170.0,1.2,1.28,28.95512533663527
1803,Kepler-1289 b,3454.0,927.976,14.599,2016,Super Earth,17.023999999999997,Unknown,8 days,0.0,Kepler-1286,Transit,,,18h41m02.01s,+43d50m08.8s,5753.0,1.0,0.98,31.441576542828336
1804,Kepler-128 b,1308.0,244.70600000000002,11.289000000000001,2013,Super Earth,16.016,0.1264 AU,15.1 days,0.0,Kepler-1287,Transit,,,19h16m32.32s,+47d03m46.8s,5715.0,0.96,0.94,9.367577374635319
1805,Kepler-128 c,1308.0,286.02000000000004,11.289000000000001,2013,Super Earth,15.008,0.1664 AU,22.8 days,0.0,Kepler-1288,Transit,,,19h02m51.24s,+41d36m21.1s,6132.0,1.2,1.29,12.469285002627332
1806,Kepler-1290 b,4309.0,826.2800000000001,15.690999999999999,2016,Super Earth,15.903999999999998,Unknown,4.7 days,0.0,Kepler-1289,Transit,,,19h45m33.31s,+41d02m26.1s,6080.0,1.1,1.17,32.077853375579075
1807,Kepler-1291 b,3203.0,1077.342,15.883,2016,Super Earth,18.592,Unknown,8.6 days,0.0,Kepler-129,Transit,,,19h01m14.71s,+47d50m54.9s,5770.0,,1.64,30.6049842869199
1808,Kepler-1292 b,4586.0,1261.6660000000002,15.948,2016,Super Earth,20.384,Unknown,3.3 days,0.0,Kepler-129,Transit,,,19h01m14.71s,+47d50m54.9s,5770.0,,1.64,29.816479879761246
1809,Kepler-1293 b,2512.0,276.8038,13.3,2016,Terrestrial,10.863999999999999,Unknown,5.6 days,0.0,Kepler-1290,Transit,,,19h22m44.46s,+43d51m34.7s,5660.0,0.95,0.93,23.029437228274425
1811,Kepler-1295 b,4100.0,959.7560000000001,15.908,2016,Super Earth,17.36,Unknown,3.8 days,0.0,Kepler-1292,Transit,,,18h59m37.37s,+43d56m57.0s,5556.0,0.95,0.93,31.27174998967153
1812,Kepler-1296 b,2058.0,220.2354,14.627,2016,Terrestrial,10.192,Unknown,8.4 days,0.0,Kepler-1293,Transit,,,19h20m06.22s,+48d20m09.4s,6241.0,1.18,1.28,20.81896277750583
1813,Kepler-1297 b,3249.0,276.8038,14.782,2016,Terrestrial,10.863999999999999,Unknown,1.7 days,0.0,Kepler-1294,Transit,,,19h25m04.34s,+44d29m17.5s,5776.0,0.99,0.97,23.029437228274425
1814,Kepler-1298 b,1624.0,721.4060000000001,11.312999999999999,2016,Super Earth,14.671999999999999,Unknown,7.1 days,0.0,Kepler-1295,Transit,,,19h25m35.49s,+45d35m18.8s,5486.0,0.92,0.89,32.90727379402202
1819,Kepler-1300 b,2469.0,778.6100000000001,12.767999999999999,2016,Super Earth,15.344,Unknown,22.2 days,0.0,Kepler-130,Transit,,,19h13m48.16s,+40d14m43.1s,5884.0,,1.13,32.473835680145285
1820,Kepler-1301 b,2662.0,807.212,15.373,2016,Super Earth,15.679999999999998,Unknown,9.1 days,0.0,Kepler-130,Transit,89.34,,19h13m48.16s,+40d14m43.1s,5884.0,,1.13,32.23935051180432
1821,Kepler-1302 b,2371.0,835.814,15.039000000000001,2016,Super Earth,16.016,Unknown,8.8 days,0.0,Kepler-130,Transit,,,19h13m48.16s,+40d14m43.1s,5884.0,,1.13,31.995751292585574
1822,Kepler-1303 b,2952.0,826.2800000000001,14.616,2016,Super Earth,15.903999999999998,Unknown,7.6 days,0.0,Kepler-1300,Transit,,,19h16m07.93s,+40d05m12.8s,6130.0,1.29,1.79,32.077853375579075
1824,Kepler-1305 b,4381.0,1331.582,15.714,2016,Super Earth,21.055999999999997,Unknown,13.6 days,0.0,Kepler-1302,Transit,,,19h23m57.42s,+50d18m29.0s,5236.0,0.86,0.82,29.49218592862121
1825,Kepler-1306 b,3686.0,1369.7179999999998,15.212,2016,Super Earth,21.392,Unknown,16.3 days,0.0,Kepler-1303,Transit,,,18h57m08.92s,+42d21m20.2s,5771.0,1.01,1.0,29.391325630569646
1827,Kepler-1308 b,238.0,29.65074,14.474,2016,Terrestrial,5.824,Unknown,2.1 days,0.0,Kepler-1305,Transit,,,19h49m21.47s,+46d20m50.1s,5701.0,0.97,0.96,8.583879160346628
1829,Kepler-130 b,1042.0,330.512,11.825,2014,Super Earth,11.424,0.079 AU,8.5 days,0.15,Kepler-1307,Transit,,,19h31m28.76s,+46d44m30.7s,5884.0,1.06,1.08,24.868044423882207
1831,Kepler-130 d,1042.0,1058.2740000000001,11.825,2014,Super Earth,18.368,0.377 AU,87.5 days,0.8,Kepler-1309,Transit,,,19h54m56.46s,+40d45m51.0s,5235.0,0.85,0.8,30.801025489907534
1832,Kepler-1310 b,1902.0,848.526,14.122,2016,Super Earth,16.128,Unknown,0.7 days,0.0,Kepler-131,Transit,,6.0,19h14m07.40s,+40d56m32.3s,5685.0,1.02,1.03,32.03280101295444
1833,Kepler-1311 b,2300.0,657.846,13.318,2016,Super Earth,13.888,Unknown,11.2 days,0.0,Kepler-131,Transit,,77.7,19h14m07.40s,+40d56m32.3s,5685.0,1.02,1.03,33.4915782691536
1834,Kepler-1311 c,2300.0,629.244,13.318,2016,Super Earth,13.664,Unknown,2.5 days,0.0,Kepler-1310,Transit,,,18h55m40.81s,+40d44m24.4s,5549.0,0.91,0.88,33.09437377827117
1836,Kepler-1313 b,610.0,1191.75,11.789000000000001,2016,Super Earth,19.712,Unknown,3.8 days,0.0,Kepler-1311,Transit,,,19h18m36.30s,+43d49m27.9s,5748.0,1.05,1.4,30.117198463753713
1838,Kepler-1315 b,1647.0,788.144,14.952,2016,Super Earth,15.455999999999998,Unknown,0.8 days,0.0,Kepler-1313,Transit,,,19h29m33.25s,+42d13m59.7s,5453.0,0.92,0.85,32.39680238382445
1840,Kepler-1317 b,2394.0,969.29,15.234000000000002,2016,Super Earth,17.471999999999998,Unknown,0.6 days,0.0,Kepler-1315,Transit,,,19h43m17.15s,+46d03m10.9s,4861.0,0.8,0.75,31.17879175783878
1842,Kepler-1319 b,372.0,750.008,14.222000000000001,2016,Super Earth,15.008,Unknown,2.9 days,0.33,Kepler-1317,Transit,,,19h26m26.85s,+42d06m57.5s,5144.0,0.83,0.79,32.697236229111674
1845,Kepler-1320 b,2515.0,1121.834,15.905,2016,Super Earth,19.04,Unknown,0.9 days,0.0,Kepler-132,Transit,,,18h52m56.59s,+41d20m34.9s,6003.0,,1.18,30.386837359489913
1848,Kepler-1322 b,3970.0,1023.3160000000001,15.775,2016,Super Earth,18.032,Unknown,1 days,0.0,Kepler-132,Transit,,,18h52m56.59s,+41d20m34.9s,6003.0,,1.18,30.90386218180489
1849,Kepler-1323 b,1729.0,927.976,12.344000000000001,2016,Super Earth,17.023999999999997,Unknown,0.9 days,0.0,Kepler-1320,Transit,,,19h13m44.06s,+40d22m51.2s,4817.0,0.8,0.74,31.441576542828336
1850,Kepler-1324 b,1703.0,918.4420000000001,15.134,2016,Super Earth,16.912,Unknown,4.1 days,0.0,Kepler-1321,Transit,,,19h38m06.86s,+46d38m27.5s,4094.0,0.54,0.53,31.53207761627121
1853,Kepler-1327 b,2244.0,1236.2420000000002,13.884,2016,Super Earth,20.16,Unknown,14.9 days,0.0,Kepler-1323,Transit,,,19h31m29.35s,+46d05m56.0s,6169.0,1.18,1.4,29.86848741642374
1854,Kepler-1328 b,2055.0,287.2912,13.802999999999999,2016,Terrestrial,10.975999999999999,Unknown,4.5 days,0.0,Kepler-1324,Transit,,,19h24m44.39s,+40d18m40.4s,4776.0,0.78,0.73,23.416658253793265
1856,Kepler-132 b,988.0,610.176,11.818,2014,Super Earth,13.552,0.067 AU,6.2 days,0.0,Kepler-1326,Transit,,,19h44m53.31s,+39d16m08.2s,6725.0,1.45,1.74,32.6241441077779
1857,Kepler-132 c,988.0,692.8040000000001,11.818,2014,Super Earth,14.335999999999999,0.068 AU,6.4 days,0.0,Kepler-1327,Transit,,,19h16m15.57s,+50d27m39.5s,5885.0,1.02,1.03,33.10131087820399
1858,Kepler-132 d,988.0,959.7560000000001,11.818,2014,Super Earth,17.36,0.136 AU,18 days,0.0,Kepler-1328,Transit,,,18h58m42.09s,+44d25m04.0s,5780.0,1.0,0.99,31.27174998967153
1859,Kepler-132 e,988.0,559.328,11.818,2016,Super Earth,13.216,Unknown,110.3 days,0.0,Kepler-1329,Transit,,,18h46m35.46s,+48d16m15.8s,4500.0,0.72,0.69,31.445412194183536
1860,Kepler-1330 b,3063.0,1067.808,14.945,2016,Super Earth,18.479999999999997,Unknown,10.1 days,0.0,Kepler-133,Transit,,,19h49m06.71s,+48d19m13.2s,5736.0,,1.43,30.70294451031988
1861,Kepler-1331 b,1191.0,368.64799999999997,15.032,2016,Super Earth,11.76,Unknown,0.8 days,0.0,Kepler-133,Transit,,,19h49m06.71s,+48d19m13.2s,5736.0,,1.43,26.17508073049379
1862,Kepler-1332 b,1680.0,778.6100000000001,13.795,2016,Super Earth,15.344,Unknown,11.9 days,0.0,Kepler-1330,Transit,,,19h22m18.42s,+39d57m24.8s,5608.0,0.97,0.94,32.473835680145285
1865,Kepler-1335 b,2049.0,858.0600000000001,15.304,2016,Super Earth,16.24,Unknown,6.3 days,0.0,Kepler-1333,Transit,,,19h34m06.61s,+41d06m41.2s,5628.0,0.94,0.92,31.947464662141716
1866,Kepler-1336 b,2681.0,1455.5240000000001,14.038,2016,Super Earth,22.176,Unknown,23.2 days,0.0,Kepler-1334,Transit,,,19h17m14.76s,+51d19m15.1s,5614.0,0.94,0.91,29.063220456610658
1867,Kepler-1336 c,2681.0,1134.546,14.038,2016,Super Earth,19.151999999999997,Unknown,5.8 days,0.0,Kepler-1335,Transit,,,18h59m21.22s,+42d04m13.6s,4903.0,0.77,0.74,30.372786269682976
1869,Kepler-1338 b,2019.0,229.1338,13.574000000000002,2016,Terrestrial,10.304,Unknown,0.9 days,0.0,Kepler-1336,Transit,,,19h45m06.65s,+46d53m59.5s,5512.0,0.94,1.3,21.191819623854517
1870,Kepler-1339 b,871.0,90.573,12.123,2016,Terrestrial,7.951999999999999,Unknown,1.3 days,0.0,Kepler-1337,Transit,,,19h08m02.18s,+46d47m46.0s,4523.0,0.7,0.67,14.064904941600057
1871,Kepler-133 b,2170.0,1191.75,12.841,2014,Super Earth,19.712,0.083 AU,8.1 days,0.0,Kepler-1338,Transit,,,18h56m10.16s,+41d41m56.9s,5909.0,1.04,1.05,30.117198463753713
1873,Kepler-1340 b,4635.0,959.7560000000001,14.755,2016,Super Earth,17.36,Unknown,0.7 days,0.0,Kepler-134,Transit,,,18h58m57.36s,+49d35m54.2s,5983.0,,1.18,31.27174998967153
1875,Kepler-1342 b,3070.0,1077.342,15.383,2016,Super Earth,18.592,Unknown,2.2 days,0.0,Kepler-1340,Transit,,,19h44m55.87s,+42d28m22.0s,6331.0,1.27,1.42,30.6049842869199
1876,Kepler-1343 b,4263.0,1391.964,15.53,2016,Super Earth,21.616,Unknown,3.4 days,0.0,Kepler-1341,Transit,,,18h42m02.82s,+44d09m33.7s,4662.0,0.79,0.72,29.25284642992452
1877,Kepler-1344 b,2776.0,1283.912,14.027000000000001,2016,Super Earth,20.608,Unknown,4.8 days,0.0,Kepler-1342,Transit,,,19h48m04.82s,+43d25m57.2s,5527.0,0.93,0.9,29.686182829532676
1879,Kepler-1346 b,3663.0,991.5360000000001,14.462,2016,Super Earth,17.695999999999998,Unknown,3.4 days,0.0,Kepler-1344,Transit,,,19h08m20.71s,+46d56m44.9s,5981.0,1.09,1.13,31.092028623546376
1880,Kepler-1347 b,1047.0,343.22400000000005,13.412,2016,Super Earth,11.536,Unknown,14 days,0.0,Kepler-1345,Transit,,,19h29m54.71s,+46d01m22.2s,6449.0,1.32,1.55,25.325495127590884
1881,Kepler-1348 b,3370.0,1404.676,14.679,2016,Super Earth,21.727999999999998,Unknown,27.6 days,0.0,Kepler-1346,Transit,,,19h27m21.91s,+45d10m45.0s,6133.0,1.14,1.21,29.21645021497501
1882,Kepler-1349 b,848.0,86.1238,11.082,2016,Terrestrial,7.839999999999999,Unknown,2.1 days,0.0,Kepler-1347,Transit,,,19h58m38.31s,+40d50m37.9s,5193.0,0.82,0.79,13.758840927084991
1883,Kepler-134 b,1103.0,1480.948,12.222000000000001,2014,Super Earth,22.4,0.06 AU,5.3 days,0.0,Kepler-1348,Transit,,,19h28m20.99s,+49d47m19.6s,5911.0,1.04,1.04,28.982414550651168
1884,Kepler-134 c,1103.0,676.914,12.222000000000001,2014,Super Earth,14.111999999999998,0.092 AU,10.1 days,0.0,Kepler-1349,Transit,,,19h05m21.21s,+48d44m38.8s,6086.0,1.16,1.28,33.37698871884086
1886,Kepler-1350 c,1142.0,1156.7920000000001,16.233,2016,Super Earth,19.375999999999998,Unknown,1.8 days,0.0,Kepler-135,Transit,,,19h21m58.83s,+38d47m43.7s,6090.0,,1.27,30.25643922788089
1887,Kepler-1351 b,786.0,66.1024,14.087,2016,Terrestrial,7.279999999999999,Unknown,0.9 days,0.0,Kepler-1350,Transit,,,19h13m00.14s,+46d40m46.6s,3827.0,0.55,0.53,12.247438304666064
1888,Kepler-1352 b,2078.0,203.39200000000002,13.25,2016,Terrestrial,9.968,Unknown,1.9 days,0.0,Kepler-1350,Transit,,,19h13m00.14s,+46d40m46.6s,3827.0,0.55,0.53,20.100580477295644
1889,Kepler-1353 b,1944.0,1236.2420000000002,15.505999999999998,2016,Super Earth,20.16,Unknown,24.8 days,0.0,Kepler-1351,Transit,,,19h34m26.09s,+42d11m51.6s,4439.0,0.7,0.67,29.86848741642374
1891,Kepler-1355 b,3141.0,867.594,15.452,2016,Super Earth,16.352,Unknown,1.3 days,0.0,Kepler-1353,Transit,,,19h42m56.48s,+42d34m34.5s,4776.0,0.76,0.72,31.861452769677005
1892,Kepler-1356 b,2874.0,940.688,15.72,2016,Super Earth,17.136,Unknown,0.6 days,0.0,Kepler-1354,Transit,,,19h24m58.84s,+37d45m32.6s,6168.0,1.16,1.24,31.457013459269803
1893,Kepler-1357 b,3347.0,692.8040000000001,15.22,2016,Super Earth,14.335999999999999,Unknown,3 days,0.0,Kepler-1355,Transit,,,18h54m57.94s,+49d04m04.7s,5352.0,0.88,0.83,33.10131087820399
1894,Kepler-1358 b,1820.0,463.988,14.54,2016,Super Earth,12.544,Unknown,7.1 days,0.0,Kepler-1356,Transit,,,19h23m58.88s,+43d14m38.2s,5106.0,0.82,0.78,28.95512533663527
1896,Kepler-135 b,2065.0,1248.9540000000002,12.679,2014,Super Earth,20.272,0.067 AU,6 days,0.0,Kepler-1358,Transit,,,19h04m40.93s,+43d00m32.1s,5181.0,0.82,0.79,29.8431072285544
1897,Kepler-135 c,2065.0,524.37,12.679,2014,Super Earth,12.991999999999999,0.103 AU,11.4 days,0.0,Kepler-1359,Transit,,,19h18m09.32s,+41d53m34.2s,4709.0,0.78,0.72,30.505391604475573
